Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
AAAIF,,,,,,,www.thealternativeinvestmenttrust.com,61 2 8277 0000,enquiries@oneinvestment.com.au,,,12/31,,,
AAALY,2074052673,,59857220,,,Paulinenstrasse 15 Wiesbaden 65189 Germany,www.aareal-bank.com,49-611-348-0,,Audited,,12/31,"Wolf Schumacher (CEO), Jurgen Junginger (Head of IR)",Wolf Schumacher,
AABB,46904183,3600000000,3374401657,0.0001,03/11/2009,"3753 Howard Hughes Parkway Suite 200-738 Las Vegas, NV 89169",www.asiabroadbandinc.com,+1 702-866-9054,ir@asiabroadbandinc.com,Unaudited,03/31/2024 Quarterly Report,12/31,"Chris Torres (President, CEO), Bernard Velez (CFO, Secretary)","Armando Gonzalez, Luis Roman, Chris Torres, Bernard Velez",16 as of 12/31/2023
AABVF,2938111,,144877282,,,"65 Queen Street West Suite 815, P.O. Box 75 Toronto, ON M5H 2M5 Canada",www.aberdeeninternational.ca,416-861-5875,dstein@aberdeeninternational.ca,Audited,,1/31,"George Faught (CEO), David Stein (President, COO), Ryan Ptolemy (CFO), Rob Hopkins (IR)",,14 as of 11/24/2015
AACAF,3643270620,,1206381000,,,"AAC Technologies Building,No.18 Xinxi Rd North Hi-Tech Industrial Park Shenzhen 518057 China",www.aactechnologies.com,86 755 33972018,aac2018@aactechnologies.com,Audited,,12/31,"Benjamin Zhengmin Pan (CEO), Du Kuang Yang (COO)",Koh Boon Hwee,"12,431 as of 12/31/2010"
AACAY,4644928764,,1206381000,,,"AAC Technologies Building,No.18 Xinxi Rd North Hi-Tech Industrial Park Shenzhen 518057 China",www.aactechnologies.com,86 755 33972018,aac2018@aactechnologies.com,Audited,,12/31,"Benjamin Zhengmin Pan (CEO), Du Kuang Yang (COO)",Koh Boon Hwee,"12,431 as of 12/31/2010"
AACRF,,,,,03/31/2024,"875 Third Avenue Suite M204A New York, NY 10022",,(212) 380-8128,,Audited,03/31/2024,12/31,,,
AACS,116960,1500000000,1169603757,0.002,,"1502 N. Taylor Road Brandon, FL 33510",www.AACSSYMBOL.COM,813-244-9843,danshirlh@msn.com,Audited,02/29/2016,2/28,"Daniel L Hefner (President, CEO)",Daniel L Hefner,
AACTF,5193675,,145074725,,,"100 - 788 Harbourside Drive North Vancouver, BC V7P 3R7 Canada",www.auroracontrol.com,+1 (778) 241-5000,info@auroracontrol.com,Audited,,3/31,"Gordon Deans (President, CEO)",Gordon Deans,
AAEEF,168364,,57266624,,,,,,,,,,,,
AAFRF,5743620000,,3754000000,,,"53/54 Grosvenor Street London, ENG W1K 3HU United Kingdom",airtel.africa/#,+44 207 493 9315,investor.relations@africa.airtel.com,Audited,,3/31,,,
AAGC,1018929,3000000000,1756773800,0.001,,"412 N Main St Suite 100 Buffalo, WY 82834",hollywoodstarcuts.com,+1 603-812-1531,info@hollywoodstarcuts.com,Unaudited,02/29/2024 Quarterly Report,5/31,Raymond J. Puglisi (CEO),,4 as of 09/18/2021
